REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Centro Oriente,15,Boyacá,"15,806",Tibasosa
Región Centro Oriente,25,Cundinamarca,"25,807",Tibirita
Región Centro Oriente,54,Norte de Santander,"54,810",Tibú
Región Caribe,23,Córdoba,"23,807",Tierralta
Región Centro Sur,41,Huila,"41,807",Timaná
Región Pacífico,19,Cauca,"19,807",Timbío
Región Pacífico,19,Cauca,"19,809",Timbiquí
Región Centro Oriente,15,Boyacá,"15,808",Tinjacá
Región Centro Oriente,15,Boyacá,"15,810",Tipacoque
Región Caribe,13,Bolívar,"13,810",Tiquisio
Región Eje Cafetero - Antioquia,5,Antioquia,"5,809",Titiribí
Región Centro Oriente,15,Boyacá,"15,814",Toca
Región Centro Oriente,25,Cundinamarca,"25,815",Tocaima
Región Centro Oriente,25,Cundinamarca,"25,817",Tocancipá
Región Centro Oriente,15,Boyacá,"15,816",Togüí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,819",Toledo
Región Centro Oriente,54,Norte de Santander,"54,820",Toledo
Región Caribe,70,Sucre,"70,823",Tolú Viejo
Región Centro Oriente,68,Santander,"68,820",Tona
Región Centro Oriente,15,Boyacá,"15,820",Tópaga
Región Centro Oriente,25,Cundinamarca,"25,823",Topaipí
Región Pacífico,19,Cauca,"19,821",Toribio
Región Pacífico,76,Valle del Cauca,"76,823",Toro
Región Centro Oriente,15,Boyacá,"15,822",Tota
Región Pacífico,19,Cauca,"19,824",Totoró
Región Llano,85,Casanare,"85,430",Trinidad
Región Pacífico,76,Valle del Cauca,"76,828",Trujillo
Región Caribe,8,Atlántico,"8,832",Tubará
Región Caribe,23,Córdoba,"23,815",Tuchín
Región Pacífico,76,Valle del Cauca,"76,834",Tuluá
Región Centro Oriente,15,Boyacá,"15,001",Tunja
Región Centro Oriente,15,Boyacá,"15,832",Tununguá
Región Pacífico,52,Nariño,"52,838",Túquerres
Región Caribe,13,Bolívar,"13,836",Turbaco
Región Caribe,13,Bolívar,"13,838",Turbaná
Región Eje Cafetero - Antioquia,5,Antioquia,"5,837",Turbo
Región Centro Oriente,15,Boyacá,"15,835",Turmequé
Región Centro Oriente,15,Boyacá,"15,837",Tuta
Región Centro Oriente,15,Boyacá,"15,839",Tutazá
Región Centro Oriente,25,Cundinamarca,"25,839",Ubalá
Región Centro Oriente,25,Cundinamarca,"25,841",Ubaque
Región Pacífico,76,Valle del Cauca,"76,845",Ulloa
Región Centro Oriente,15,Boyacá,"15,842",Umbita
Región Centro Oriente,25,Cundinamarca,"25,845",Une
Región Pacífico,27,Chocó,"27,800",Unguía
Región Pacífico,27,Chocó,"27,810",Unión Panamericana
Región Eje Cafetero - Antioquia,5,Antioquia,"5,842",Uramita
Región Llano,50,Meta,"50,370",Uribe
Región Caribe,44,La Guajira,"44,847",Uribia
Región Eje Cafetero - Antioquia,5,Antioquia,"5,847",Urrao
Región Caribe,44,La Guajira,"44,855",Urumita
Región Caribe,8,Atlántico,"8,849",Usiacurí
Región Centro Oriente,25,Cundinamarca,"25,851",Útica
Región Eje Cafetero - Antioquia,5,Antioquia,"5,854",Valdivia
Región Caribe,23,Córdoba,"23,855",Valencia
Región Centro Sur,86,Putumayo,"86,865",Valle de Guamez
Región Centro Oriente,68,Santander,"68,855",Valle de San José
Región Centro Sur,73,Tolima,"73,854",Valle de San Juan
Región Caribe,20,Cesar,"20,001",Valledupar
Región Eje Cafetero - Antioquia,5,Antioquia,"5,856",Valparaíso
Región Centro Sur,18,Caquetá,"18,860",Valparaíso
Región Eje Cafetero - Antioquia,5,Antioquia,"5,858",Vegachí
Región Centro Oriente,68,Santander,"68,861",Vélez
Región Centro Sur,73,Tolima,"73,861",Venadillo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,861",Venecia
Región Centro Oriente,25,Cundinamarca,"25,506",Venecia
Región Centro Oriente,15,Boyacá,"15,861",Ventaquemada
Región Centro Oriente,25,Cundinamarca,"25,862",Vergara
Región Pacífico,76,Valle del Cauca,"76,863",Versalles
Región Centro Oriente,68,Santander,"68,867",Vetas
Región Centro Oriente,25,Cundinamarca,"25,867",Vianí
Región Eje Cafetero - Antioquia,17,Caldas,"17,867",Victoria
Región Eje Cafetero - Antioquia,5,Antioquia,"5,873",Vigía del Fuerte
Región Pacífico,76,Valle del Cauca,"76,869",Vijes
Región Centro Oriente,54,Norte de Santander,"54,871",Villa Caro
Región Centro Oriente,15,Boyacá,"15,407",Villa de Leyva
Región Centro Oriente,25,Cundinamarca,"25,843",Villa de San Diego de Ubate
Región Centro Oriente,54,Norte de Santander,"54,874",Villa del Rosario
Región Pacífico,19,Cauca,"19,845",Villa Rica
Región Centro Sur,86,Putumayo,"86,885",Villagarzón
Región Centro Oriente,25,Cundinamarca,"25,871",Villagómez
Región Centro Sur,73,Tolima,"73,870",Villahermosa
Región Eje Cafetero - Antioquia,17,Caldas,"17,873",Villamaría
Región Caribe,13,Bolívar,"13,873",Villanueva
Región Caribe,44,La Guajira,"44,874",Villanueva
Región Centro Oriente,68,Santander,"68,872",Villanueva
Región Llano,85,Casanare,"85,440",Villanueva
Región Centro Oriente,25,Cundinamarca,"25,873",Villapinzón
Región Centro Sur,73,Tolima,"73,873",Villarrica
Región Llano,50,Meta,"50,001",Villavicencio
Región Centro Sur,41,Huila,"41,872",Villavieja
Región Centro Oriente,25,Cundinamarca,"25,875",Villeta
Región Centro Oriente,25,Cundinamarca,"25,878",Viotá
Región Centro Oriente,15,Boyacá,"15,879",Viracachá
Región Llano,50,Meta,"50,711",Vista Hermosa
Región Eje Cafetero - Antioquia,17,Caldas,"17,877",Viterbo
Región Centro Oriente,25,Cundinamarca,"25,885",Yacopí
Región Pacífico,52,Nariño,"52,885",Yacuanquer
Región Centro Sur,41,Huila,"41,885",Yaguará
Región Eje Cafetero - Antioquia,5,Antioquia,"5,885",Yalí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,887",Yarumal
Región Llano,97,Vaupés,"97,889",Yavaraté
Región Eje Cafetero - Antioquia,5,Antioquia,"5,890",Yolombó
Región Eje Cafetero - Antioquia,5,Antioquia,"5,893",Yondó
Región Llano,85,Casanare,"85,001",Yopal
Región Pacífico,76,Valle del Cauca,"76,890",Yotoco
Región Pacífico,76,Valle del Cauca,"76,892",Yumbo
Región Caribe,13,Bolívar,"13,894",Zambrano
Región Centro Oriente,68,Santander,"68,895",Zapatoca
Región Caribe,47,Magdalena,"47,960",Zapayán
Región Eje Cafetero - Antioquia,5,Antioquia,"5,895",Zaragoza
Región Pacífico,76,Valle del Cauca,"76,895",Zarzal
Región Centro Oriente,15,Boyacá,"15,897",Zetaquira
Región Centro Oriente,25,Cundinamarca,"25,898",Zipacón
Región Centro Oriente,25,Cundinamarca,"25,899",Zipaquirá
Región Caribe,47,Magdalena,"47,980",Zona Bananera
